LfSn;NrLf;EAN;Produkt;Marke;Modell;Spezifikation;Hersteller;Farbe;Modelljahr;Wgr;EK_PL;UVP_PL;UAVP_PL;image;image-transparent;image-detail-1;image-detail-2;image-detail-3;Dimension (ABME);Fastening (BEFE);Brake light function (BREL);Gross weight (BRUT);Diameter (mm) (DURC);Colours for shop filters (FAF2);Manufacturer color (FARB);Colours for shop filters (FARF);High Beam (FEBE);Hazardous goods (GEFG);Weight ** (GEW);Size (parts) (GRTE);Colours (for webshops) (GRUF);Hersteller (HERS);Colours (for webshops) (HLF1); Integrated large-area Z reflector (IGBE);Capacity indicator (KIBE);Length (LANG);Light source (LEUM);Scope of delivery (LIEF);Material (MATE);Stem material (MAVB);MonkeyLink Ready (MKBE);Net weight (NETT);close-range illumination (NFBE);NOS (NOS);Tilt angle (NWVB);Product type (PRAR);Categorie (PRGR);Stem length (mm) (RGVL);Sensor automation (SABE);ON/OFF switch (SALT);Shaft diameter (mm) (SDMR); parking light (STAN);StVZO approval (STBE);Power supply (STRO);Daytime running light (TAGF);Overvoltage protection (UBEZ)
"ZEG";"060-52517";"";"Ersatzteil";"MonkeyLink";"ML-Anti Diebstahl Schraube für Sattelklemme";"";"";"Schwarz";"2023";"1274";"2.2200";"3.9900";"0.0000";"https://assets.zeg.de/1942485/hub_main/ZEG_060-52517_main.jpg";"https://assets.zeg.de/1942485/hub_transparent/ZEG_060-52517_main.png";"https://assets.zeg.de/1946320/hub_main/ZEG_060-52517_detail_01.jpg";"";"";"";"";"";"";"";"";"Schwarz";"black";"";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"";"";"";"";"";"no";"";"Seat posts";"Seat post accessories";"";"";"";"";"";"";"";"";""
"ZEG";"060-52516";"4002556874872";"Ersatzteilkasten";"MonkeyLink";"";"";"";"";"2023";"1242";"142.5000";"302.0000";"0.0000";"https://assets.zeg.de/1359310/hub_main/ZEG_060-52516.jpg";"https://assets.zeg.de/1359310/hub_transparent/ZEG_060-52516.png";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"no";"";"Stems";"Stem accessories";"";"";"";"";"";"";"";"";""
"ZEG";"060-52515";"4002556872175";"Ersatzteilkasten";"MonkeyLink";"";"";"";"";"2023";"1242";"77.1900";"156.0000";"0.0000";"https://assets.zeg.de/1359313/hub_main/ZEG_060-52515.jpg";"https://assets.zeg.de/1359313/hub_transparent/ZEG_060-52515.png";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Aluminium";"";"";"";"";"no";"";"Stems";"Stem accessories";"";"";"";"";"";"";"";"";""
"ZEG";"060-52514";"4002556871253";"Seat clamp";"MonkeyLink";"SC1 ML-1 32";"";"MonkeyLink";"Schwarz";"2023";"1274";"11.1100";"19.9900";"0.0000";"https://assets.zeg.de/1359331/hub_main/ZEG_060-52514.jpg";"https://assets.zeg.de/1359331/hub_transparent/ZEG_060-52514.png";"";"";"";"";"";"";"";"31,8 mm";"";"Schwarz";"black";"";"";"";"31.8 mm";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"Steel";"";"";"";"";"no";"";"Seat posts";"Seat post accessories";"";"";"";"";"";"";"";"";""
"ZEG";"060-52506";"4002556871161";"Stem";"MonkeyLink";"AS-ML3-90 31,8 / 90 mm";"";"MonkeyLink";"Schwarz";"2023";"12421";"11.1100";"19.9900";"0.0000";"https://assets.zeg.de/1359400/hub_main/ZEG_060-52506.jpg";"https://assets.zeg.de/1359400/hub_transparent/ZEG_060-52506.png";"";"";"";"";"";"";"";"";"";"Schwarz";"black";"";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"Steel; Aluminium";"Alu, Steel";"";"215 g";"";"no";"7 °";"Stems";"Ahead stem";"90 mm";"";"";"28,6 mm";"";"";"";"";""
"ZEG";"060-52501";"4002556871116";"Stem";"MonkeyLink";"AS-ML2-80 31,8 mm / 80 mm";"";"MonkeyLink";"Schwarz";"2023";"12421";"22.1900";"39.9900";"0.0000";"https://assets.zeg.de/1359445/hub_main/ZEG_060-52501.jpg";"https://assets.zeg.de/1359445/hub_transparent/ZEG_060-52501.png";"";"";"";"";"";"";"";"";"";"Schwarz";"black";"";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"Aluminium; Steel";"Alu, Steel";"";"195 g";"";"no";"7 °";"Stems";"Ahead stem";"80 mm";"";"";"28,6 mm";"";"";"";"";""
"ZEG";"050-31841";"4003318909726";"Lock";"MonkeyLink";"BORDO™ Combo 6000C/90 + Halter für MoneyLink";"";"Abus";"Schwarz";"2020";"1349";"55.8700";"117.9500";"0.0000";"https://assets.zeg.de/1980155/hub_main/ZEG_050-31841_main.jpg";"https://assets.zeg.de/1980155/hub_transparent/ZEG_050-31841_main.png";"";"";"";"";"MonkeyLink magnetic holder";"";"";"";"";"Schwarz";"black";"";"";"1250 g";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"900 mm";"";"";"";"";"";"";"";"no";"";"Bicycle locks";"Folding shackle lock";"";"";"";"";"";"";"";"";""
"ZEG";"050-31840";"4003318909733";"Lock";"MonkeyLink";"BORDO™ 6000K/90 schwarz + Halter für MonkeyLink";"";"Abus";"Schwarz";"2020";"1349";"55.8700";"117.9500";"0.0000";"https://assets.zeg.de/1089552/hub_main/ZEG_050-31840.jpg";"https://assets.zeg.de/1089552/hub_transparent/ZEG_050-31840.png";"";"";"";"";"MonkeyLink magnetic holder";"";"";"";"";"Schwarz";"black";"";"";"1200 g";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"900 mm";"";"";"";"";"";"";"";"no";"";"Bicycle locks";"Folding shackle lock";"";"";"";"";"";"";"";"";""
"ZEG";"050-28502";"4002556954277";"Drinking bottle";"MonkeyLink";"ML-MonkeyBottle 590ml";"";"Fidlock";"grey";"2023";"1361";"21.0800";"42.9900";"0.0000";"https://assets.zeg.de/1359535/hub_main/ZEG_050-28502.jpg";"https://assets.zeg.de/1359535/hub_transparent/ZEG_050-28502.png";"";"";"";"";"Magnetic locking";"";"";"";"";"grey";"grey";"";"";"";"";"grey";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"";"";"";"";"";"no";"";"Bottles & holders";"Drinking bottle";"";"";"";"";"";"";"";"";""
"ZEG";"050-28493";"4003318888861";"Teie & Zubehör";"MonkeyLink";"Bordo 6000/90 Halter für MonkeyLink";"";"Abus";"Schwarz";"2023";"1349";"16.0000";"29.9500";"0.0000";"https://assets.zeg.de/1359547/hub_main/ZEG_050-28493.jpg";"https://assets.zeg.de/1359547/hub_transparent/ZEG_050-28493.png";"";"";"";"";"";"";"";"";"";"Schwarz";"black";"";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"";"";"";"";"";"no";"";"Bicycle locks";"Lock accessories";"";"";"";"";"";"";"";"";""
